"Height ""","Width """,Container,Material,Liner,Finish,Quantity,Cost
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Gloss,1000,0.2574
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Gloss,2500,0.1222
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Gloss,5000,0.0767
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Gloss,7500,0.0624
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Gloss,10000,0.05486
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Gloss,15000,0.04732
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Gloss,20000,0.044135
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Gloss,50000,0.036868
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Gloss,75000,0.034359
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Gloss,100000,0.033046
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Gloss,400000,0.033046
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Gloss,800000,0.033046
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Gloss,1000000,0.033046
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Matte,1000,0.2574
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Matte,2500,0.1222
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Matte,5000,0.0767
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Matte,7500,0.0624
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Matte,10000,0.05486
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Matte,15000,0.04732
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Matte,20000,0.044135
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Matte,50000,0.036868
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Matte,75000,0.034359
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Matte,100000,0.033046
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Matte,400000,0.033046
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Matte,800000,0.033046
0.85,4.85,Pre-Roll Tube,Metal BOPP ,PET,Matte,1000000,0.033046
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Gloss,1000,0.2457
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Gloss,2500,0.11336
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Gloss,5000,0.06994
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Gloss,7500,0.055809
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Gloss,10000,0.04849
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Gloss,15000,0.04134
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Gloss,20000,0.03835
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Gloss,50000,0.031668
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Gloss,75000,0.029445
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Gloss,100000,0.028171
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Gloss,400000,0.028171
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Gloss,800000,0.028171
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Gloss,1000000,0.028171
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Matte,1000,0.2457
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Matte,2500,0.11336
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Matte,5000,0.06994
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Matte,7500,0.055809
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Matte,10000,0.04849
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Matte,15000,0.04134
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Matte,20000,0.03835
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Matte,50000,0.031668
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Matte,75000,0.029445
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Matte,100000,0.028171
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Matte,400000,0.028171
0.85,4.85,Pre-Roll Tube,White BOPP,PET,Matte,800000,0.028171
